location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
usa,qmj_safety,monthly,vw_cap,1,160,75,1928-08-31,-0.0657982102537462
usa,qmj_safety,monthly,vw_cap,1,209,99,1928-09-30,-0.0353602667354025
usa,qmj_safety,monthly,vw_cap,1,228,108,1928-10-31,-0.00252759224521264
usa,qmj_safety,monthly,vw_cap,1,241,112,1928-11-30,-0.0726807817954654
usa,qmj_safety,monthly,vw_cap,1,250,117,1928-12-31,-0.00815243816324544
usa,qmj_safety,monthly,vw_cap,1,260,123,1929-01-31,-0.00309500578169925
usa,qmj_safety,monthly,vw_cap,1,262,125,1929-02-28,-0.0407412756786387
usa,qmj_safety,monthly,vw_cap,1,272,130,1929-03-31,0.0205245748781292
usa,qmj_safety,monthly,vw_cap,1,278,133,1929-04-30,-0.00908921874656604
usa,qmj_safety,monthly,vw_cap,1,284,135,1929-05-31,0.0860174029034735
usa,qmj_safety,monthly,vw_cap,1,284,133,1929-06-30,-0.0568926727838622
usa,qmj_safety,monthly,vw_cap,1,287,131,1929-07-31,0.0336481176971488
usa,qmj_safety,monthly,vw_cap,1,290,131,1929-08-31,0.00761863974508112
usa,qmj_safety,monthly,vw_cap,1,290,131,1929-09-30,0.00924238044699815
usa,qmj_safety,monthly,vw_cap,1,290,129,1929-10-31,0.132937705550991
usa,qmj_safety,monthly,vw_cap,1,292,137,1929-11-30,0.0973012736009725
usa,qmj_safety,monthly,vw_cap,1,300,142,1929-12-31,-0.0471160067721152
usa,qmj_safety,monthly,vw_cap,1,304,141,1930-01-31,-0.0561360865687986
usa,qmj_safety,monthly,vw_cap,1,307,145,1930-02-28,-0.0389445226421265
usa,qmj_safety,monthly,vw_cap,1,312,147,1930-03-31,-0.0127878244977933
usa,qmj_safety,monthly,vw_cap,1,307,147,1930-04-30,-0.0136148990775939
usa,qmj_safety,monthly,vw_cap,1,309,145,1930-05-31,0.0074893117671497
usa,qmj_safety,monthly,vw_cap,1,305,140,1930-06-30,0.110362405361513
usa,qmj_safety,monthly,vw_cap,1,309,139,1930-07-31,-0.0372439707540034
usa,qmj_safety,monthly,vw_cap,1,306,141,1930-08-31,-0.00124017989397173
usa,qmj_safety,monthly,vw_cap,1,306,138,1930-09-30,0.0803365245617454
usa,qmj_safety,monthly,vw_cap,1,308,140,1930-10-31,0.0583461265687967
usa,qmj_safety,monthly,vw_cap,1,312,133,1930-11-30,-0.0188055959766117
usa,qmj_safety,monthly,vw_cap,1,318,130,1930-12-31,0.0337383270997952
usa,qmj_safety,monthly,vw_cap,1,322,130,1931-01-31,-0.0184376509832616
usa,qmj_safety,monthly,vw_cap,1,325,133,1931-02-28,-0.162232165852181
usa,qmj_safety,monthly,vw_cap,1,327,132,1931-03-31,0.0508315280793871
usa,qmj_safety,monthly,vw_cap,1,324,131,1931-04-30,0.0742974211892226
usa,qmj_safety,monthly,vw_cap,1,325,131,1931-05-31,0.0857153475331871
usa,qmj_safety,monthly,vw_cap,1,326,132,1931-06-30,-0.156335466499571
usa,qmj_safety,monthly,vw_cap,1,328,137,1931-07-31,0.0611268053525108
usa,qmj_safety,monthly,vw_cap,1,326,135,1931-08-31,-0.0183733775850657
usa,qmj_safety,monthly,vw_cap,1,324,136,1931-09-30,0.149023469327343
usa,qmj_safety,monthly,vw_cap,1,326,137,1931-10-31,-0.0871347510343924
usa,qmj_safety,monthly,vw_cap,1,332,143,1931-11-30,0.0776399780356099
usa,qmj_safety,monthly,vw_cap,1,325,142,1931-12-31,0.106746496272352
usa,qmj_safety,monthly,vw_cap,1,333,141,1932-01-31,-0.0537071678216419
usa,qmj_safety,monthly,vw_cap,1,334,146,1932-02-29,0.0197741099289618
usa,qmj_safety,monthly,vw_cap,1,333,148,1932-03-31,0.122203409401123
usa,qmj_safety,monthly,vw_cap,1,330,150,1932-04-30,0.0579024912151745
usa,qmj_safety,monthly,vw_cap,1,332,147,1932-05-31,0.143160810507766
usa,qmj_safety,monthly,vw_cap,1,323,144,1932-06-30,-0.061456037050751
usa,qmj_safety,monthly,vw_cap,1,317,144,1932-07-31,-0.443284548620082
usa,qmj_safety,monthly,vw_cap,1,312,146,1932-08-31,-0.594549342219811
usa,qmj_safety,monthly,vw_cap,1,311,146,1932-09-30,0.03100498457609
usa,qmj_safety,monthly,vw_cap,1,323,153,1932-10-31,0.16091566209885
usa,qmj_safety,monthly,vw_cap,1,316,147,1932-11-30,0.100325117646784
usa,qmj_safety,monthly,vw_cap,1,315,146,1932-12-31,0.0329572421220244
usa,qmj_safety,monthly,vw_cap,1,313,144,1933-01-31,-0.0258104645756328
usa,qmj_safety,monthly,vw_cap,1,312,145,1933-02-28,0.144609247611818
usa,qmj_safety,monthly,vw_cap,1,311,145,1933-03-31,-0.0191349317710692
usa,qmj_safety,monthly,vw_cap,1,307,145,1933-04-30,-0.380544344274999
usa,qmj_safety,monthly,vw_cap,1,312,147,1933-05-31,-0.20546262574474
usa,qmj_safety,monthly,vw_cap,1,319,152,1933-06-30,-0.0985865523193547
usa,qmj_safety,monthly,vw_cap,1,338,158,1933-07-31,0.0426440926874868
usa,qmj_safety,monthly,vw_cap,1,353,160,1933-08-31,-0.0814951490784507
usa,qmj_safety,monthly,vw_cap,1,356,165,1933-09-30,0.120968319459905
usa,qmj_safety,monthly,vw_cap,1,365,164,1933-10-31,0.0854383579450627
usa,qmj_safety,monthly,vw_cap,1,364,165,1933-11-30,-0.0442308432176382
usa,qmj_safety,monthly,vw_cap,1,369,165,1933-12-31,-0.0144834060407517
usa,qmj_safety,monthly,vw_cap,1,369,167,1934-01-31,-0.150649717977463
usa,qmj_safety,monthly,vw_cap,1,376,172,1934-02-28,0.0122480526178897
usa,qmj_safety,monthly,vw_cap,1,375,173,1934-03-31,0.007740468106833
usa,qmj_safety,monthly,vw_cap,1,386,176,1934-04-30,0.06967406631367
usa,qmj_safety,monthly,vw_cap,1,389,175,1934-05-31,0.0858037504449389
usa,qmj_safety,monthly,vw_cap,1,385,175,1934-06-30,0.0363732045994582
