location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
usa,ret_60_12,monthly,vw_cap,-1,319,115,1931-01-31,0.0347122519456229
usa,ret_60_12,monthly,vw_cap,-1,325,120,1931-02-28,-0.0121234677273042
usa,ret_60_12,monthly,vw_cap,-1,331,119,1931-03-31,-0.000382415820955023
usa,ret_60_12,monthly,vw_cap,-1,327,120,1931-04-30,-0.0111370107287929
usa,ret_60_12,monthly,vw_cap,-1,329,121,1931-05-31,-0.00316887249107534
usa,ret_60_12,monthly,vw_cap,-1,330,121,1931-06-30,0.0140777576962798
usa,ret_60_12,monthly,vw_cap,-1,333,122,1931-07-31,0.0255992811730593
usa,ret_60_12,monthly,vw_cap,-1,334,124,1931-08-31,-0.0281922168854607
usa,ret_60_12,monthly,vw_cap,-1,327,121,1931-09-30,-0.0159300654678547
usa,ret_60_12,monthly,vw_cap,-1,326,123,1931-10-31,-0.00532986071205363
usa,ret_60_12,monthly,vw_cap,-1,336,124,1931-11-30,0.0153731138412966
usa,ret_60_12,monthly,vw_cap,-1,329,121,1931-12-31,-0.0607947227770076
usa,ret_60_12,monthly,vw_cap,-1,329,121,1932-01-31,0.0411146637562454
usa,ret_60_12,monthly,vw_cap,-1,329,124,1932-02-29,-0.0175097038123174
usa,ret_60_12,monthly,vw_cap,-1,336,127,1932-03-31,0.00972359445816373
usa,ret_60_12,monthly,vw_cap,-1,336,127,1932-04-30,0.0420005983967798
usa,ret_60_12,monthly,vw_cap,-1,333,126,1932-05-31,0.0599701032580969
usa,ret_60_12,monthly,vw_cap,-1,336,129,1932-06-30,0.0169130791976785
usa,ret_60_12,monthly,vw_cap,-1,341,130,1932-07-31,0.166087491847615
usa,ret_60_12,monthly,vw_cap,-1,340,132,1932-08-31,0.25740503323834
usa,ret_60_12,monthly,vw_cap,-1,338,130,1932-09-30,-0.0614958724186775
usa,ret_60_12,monthly,vw_cap,-1,332,132,1932-10-31,-0.090843669984233
