location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
usa,rvol_21d,monthly,vw_cap,-1,311,129,1926-02-28,0.0427533810334015
usa,rvol_21d,monthly,vw_cap,-1,325,133,1926-03-31,0.0599082454842161
usa,rvol_21d,monthly,vw_cap,-1,310,132,1926-04-30,-0.00349629440508691
usa,rvol_21d,monthly,vw_cap,-1,316,128,1926-05-31,0.00609610107263933
usa,rvol_21d,monthly,vw_cap,-1,290,122,1926-06-30,-0.016492961562724
usa,rvol_21d,monthly,vw_cap,-1,304,123,1926-07-31,0.00977659103079352
usa,rvol_21d,monthly,vw_cap,-1,291,124,1926-08-31,0.0266367939897038
usa,rvol_21d,monthly,vw_cap,-1,295,122,1926-09-30,0.0194010134852799
usa,rvol_21d,monthly,vw_cap,-1,313,130,1926-10-31,0.0303877619590306
usa,rvol_21d,monthly,vw_cap,-1,317,130,1926-11-30,0.00806340963250115
usa,rvol_21d,monthly,vw_cap,-1,316,132,1926-12-31,0.00564306496966592
usa,rvol_21d,monthly,vw_cap,-1,323,133,1927-01-31,0.000656006534460381
usa,rvol_21d,monthly,vw_cap,-1,326,134,1927-02-28,-0.0305903739958796
usa,rvol_21d,monthly,vw_cap,-1,334,136,1927-03-31,0.0268983596321907
usa,rvol_21d,monthly,vw_cap,-1,323,131,1927-04-30,0.0200845963899018
usa,rvol_21d,monthly,vw_cap,-1,331,132,1927-05-31,-0.0029128528880636
usa,rvol_21d,monthly,vw_cap,-1,332,136,1927-06-30,0.0122588229578671
usa,rvol_21d,monthly,vw_cap,-1,332,137,1927-07-31,0.0222357427334962
usa,rvol_21d,monthly,vw_cap,-1,339,138,1927-08-31,0.0173432091795691
usa,rvol_21d,monthly,vw_cap,-1,334,139,1927-09-30,-0.0059569889150573
usa,rvol_21d,monthly,vw_cap,-1,346,141,1927-10-31,0.0313456750505199
usa,rvol_21d,monthly,vw_cap,-1,359,144,1927-11-30,-0.0318513952153398
usa,rvol_21d,monthly,vw_cap,-1,366,147,1927-12-31,-0.0103427089737882
usa,rvol_21d,monthly,vw_cap,-1,368,147,1928-01-31,0.00606363895256191
usa,rvol_21d,monthly,vw_cap,-1,375,148,1928-02-29,0.0156546481314769
usa,rvol_21d,monthly,vw_cap,-1,372,147,1928-03-31,-0.0327013547922916
usa,rvol_21d,monthly,vw_cap,-1,368,146,1928-04-30,-0.0156840027963459
usa,rvol_21d,monthly,vw_cap,-1,389,152,1928-05-31,0.0104473559185769
usa,rvol_21d,monthly,vw_cap,-1,390,151,1928-06-30,0.0368115684297692
usa,rvol_21d,monthly,vw_cap,-1,373,146,1928-07-31,0.00440183671633098
usa,rvol_21d,monthly,vw_cap,-1,362,144,1928-08-31,-0.0262074768389407
usa,rvol_21d,monthly,vw_cap,-1,360,143,1928-09-30,-0.0488742502824969
usa,rvol_21d,monthly,vw_cap,-1,380,154,1928-10-31,-0.00453515292597877
usa,rvol_21d,monthly,vw_cap,-1,382,153,1928-11-30,-0.0401456841564402
usa,rvol_21d,monthly,vw_cap,-1,397,155,1928-12-31,-0.0073756152030196
usa,rvol_21d,monthly,vw_cap,-1,398,161,1929-01-31,0.021285500259036
usa,rvol_21d,monthly,vw_cap,-1,401,159,1929-02-28,-0.001573417354104
usa,rvol_21d,monthly,vw_cap,-1,408,166,1929-03-31,0.0295862697410834
usa,rvol_21d,monthly,vw_cap,-1,410,163,1929-04-30,0.0342268241728695
usa,rvol_21d,monthly,vw_cap,-1,402,163,1929-05-31,0.0970445619561312
usa,rvol_21d,monthly,vw_cap,-1,413,167,1929-06-30,-0.0244021702404209
usa,rvol_21d,monthly,vw_cap,-1,416,166,1929-07-31,0.00961943995995694
usa,rvol_21d,monthly,vw_cap,-1,413,167,1929-08-31,0.0229600662268161
usa,rvol_21d,monthly,vw_cap,-1,421,180,1929-09-30,-0.0112977060997301
usa,rvol_21d,monthly,vw_cap,-1,422,179,1929-10-31,0.139996808415687
