location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
usa,sale_bev,monthly,vw_cap,1,15,7,1950-11-30,-0.0181702538635248
usa,sale_bev,monthly,vw_cap,1,19,9,1950-12-31,-0.0264871028269449
usa,sale_bev,monthly,vw_cap,1,24,11,1951-01-31,0.0650573899772922
usa,sale_bev,monthly,vw_cap,1,33,16,1951-02-28,0.00503647420566284
usa,sale_bev,monthly,vw_cap,1,45,21,1951-03-31,0.0152315268709519
usa,sale_bev,monthly,vw_cap,1,50,24,1951-04-30,-0.05500332782218
usa,sale_bev,monthly,vw_cap,1,225,110,1951-05-31,0.00249240208518308
usa,sale_bev,monthly,vw_cap,1,235,115,1951-06-30,-0.0180133471019987
usa,sale_bev,monthly,vw_cap,1,241,118,1951-07-31,-0.0173118306084243
usa,sale_bev,monthly,vw_cap,1,246,120,1951-08-31,0.00491581040469419
usa,sale_bev,monthly,vw_cap,1,250,122,1951-09-30,0.00318755834603919
usa,sale_bev,monthly,vw_cap,1,254,124,1951-10-31,-0.00234190749690644
usa,sale_bev,monthly,vw_cap,1,253,124,1951-11-30,-0.00225523888916243
usa,sale_bev,monthly,vw_cap,1,254,124,1951-12-31,-0.015364872808397
usa,sale_bev,monthly,vw_cap,1,255,123,1952-01-31,-0.0096236213317386
usa,sale_bev,monthly,vw_cap,1,254,124,1952-02-29,0.0051631206425119
usa,sale_bev,monthly,vw_cap,1,254,124,1952-03-31,-0.00151996507882601
usa,sale_bev,monthly,vw_cap,1,254,124,1952-04-30,0.0193707762151816
usa,sale_bev,monthly,vw_cap,1,256,124,1952-05-31,0.00555402594583452
usa,sale_bev,monthly,vw_cap,1,255,124,1952-06-30,0.00453615240889199
usa,sale_bev,monthly,vw_cap,1,256,124,1952-07-31,0.000379021956739809
usa,sale_bev,monthly,vw_cap,1,257,124,1952-08-31,0.00757208267725957
usa,sale_bev,monthly,vw_cap,1,258,123,1952-09-30,0.0260069327817073
usa,sale_bev,monthly,vw_cap,1,259,124,1952-10-31,0.00177318313710045
usa,sale_bev,monthly,vw_cap,1,256,123,1952-11-30,0.0102378221412847
usa,sale_bev,monthly,vw_cap,1,258,123,1952-12-31,0.00348083788491598
usa,sale_bev,monthly,vw_cap,1,256,123,1953-01-31,0.0120015227754764
usa,sale_bev,monthly,vw_cap,1,258,125,1953-02-28,-0.000616731961524007
usa,sale_bev,monthly,vw_cap,1,260,126,1953-03-31,-0.0184757889857145
usa,sale_bev,monthly,vw_cap,1,262,129,1953-04-30,0.0129721991271082
usa,sale_bev,monthly,vw_cap,1,263,129,1953-05-31,0.00736989565709473
usa,sale_bev,monthly,vw_cap,1,264,131,1953-06-30,-0.00843234683479142
